Student Name,Assigned Group,Assigned Time Slot,finance,healthcare,marketing,technology,fridays after 8 pm only,fridays between 5 -8 pm,mondays after 8 pm only,mondays between 5 - 8 pm,saturday after 8 pm only,saturday early afternoons (between 12 pm - 3 pm),saturday evenings (between 6 - 8 pm),saturday late afternoons (between 3 - 6 pm),saturday mornings (between 9 am - 12 pm),sunday after 8 pm only,sunday early afternoons (between 12 pm - 3 pm),sunday evenings (between 6 - 8 pm),sunday late afternoons (between 3 - 6 pm),sunday mornings (between 9 am - 12 pm),thursdays after 8 pm only,thursdays between 5-8 pm,wednesdays after 8 pm only,wednesdays between 5 -8 pm
"Hermione Granger","Group 8","mondays after 8 pm only",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
"Ron Weasley","Group 8","mondays after 8 pm only",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"Severus Snape","Group 8","mondays after 8 pm only",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"Dolores Umbridge","Group 8","mondays after 8 pm only",0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"Luke Castellan","Group 8","mondays after 8 pm only",1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1
"Nico Diangelo","Group 8","mondays after 8 pm only",0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1
"Grover Underwood","Group 8","mondays after 8 pm only",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"Thalia Grace","Group 8","mondays after 8 pm only",0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Will Solace","Group 8","mondays after 8 pm only",0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1
"Cheshire Cat","Unassigned - no availabilities","Unassigned - no availabilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rachel Dare","Unassigned - no availabilities","Unassigned - no availabilities",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethan Hunt","Unassigned - no availabilities","Unassigned - no availabilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benji Dunn","Unassigned - no availabilities","Unassigned - no availabilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
